loan_amount,interest_rate,income,employment_years,credit_score,age,existing_debt,loan_term,default
27399,26.781290684966315,122466,24,557,32,13754,48,0
20846,12.236022374205206,53071,7,516,49,5209,12,0
16708,24.580386366416967,90560,8,778,37,14490,24,1
45039,25.081122616620156,182842,14,413,31,27601,24,1
46368,29.66407785286026,96762,31,679,44,7645,24,0
11998,19.945999671142125,186471,2,536,20,38508,24,0
48063,7.049143366091554,195487,3,775,66,36922,48,0
31678,21.170930723159525,163641,29,428,20,35433,24,0
11682,20.62449370940088,22369,12,809,30,6018,48,1
9519,20.958764435510794,129963,20,464,42,26374,12,0
32480,12.678641202605288,20528,18,576,35,5713,36,0
20694,26.491989627008323,128806,38,556,18,45839,36,0
4300,28.986804573885298,181386,21,431,56,30072,36,0
7722,10.442812824453789,122979,19,556,22,21535,48,0
40986,7.203803953416111,169119,36,440,19,31320,48,0
25160,9.863375829212103,39748,30,508,47,27563,48,0
21059,25.51380348139297,55109,9,818,34,48095,12,0
36822,21.91611587049619,33919,17,350,46,18962,60,1
14575,20.901183558478166,67498,38,802,59,1026,48,1
8970,15.044828377735612,75808,19,558,21,4473,48,1
35911,19.445699287785892,90441,17,477,26,4667,36,0
22591,12.696853131859186,133843,10,842,38,27889,24,0
32821,16.93000198544903,94420,21,655,60,26140,24,1
10503,24.826575709266397,179978,17,617,29,16970,12,0
48917,29.531039936386552,127447,33,663,29,15941,24,0
19922,28.312223089745046,86896,22,354,67,29028,60,1
13175,28.34664857115622,123431,0,455,21,33452,36,1
42124,15.05559337117781,173018,9,343,45,22426,12,0
22389,16.71974701266977,67020,0,841,26,3268,24,0
48838,22.64088490922454,42161,37,621,57,15193,24,0
1822,28.054798201282107,47738,38,313,68,28066,36,1
18327,8.549856483802117,154997,8,656,49,658,12,1
48057,12.606046595679894,159535,30,782,30,34064,36,0
7150,8.481171114852739,77153,6,658,51,34293,12,0
5425,20.30021324898638,81009,16,617,36,43042,24,1
17032,12.657524922188438,107938,34,374,31,39918,36,0
3198,13.152696312814337,119546,36,493,22,7792,36,0
21079,6.772898987199481,192624,17,662,44,6604,60,0
37220,13.744901545189798,76271,32,395,45,47821,36,0
42874,26.562412685039632,29797,3,339,43,38557,12,1
14859,10.826820297270874,106130,22,696,27,7420,60,1
32419,22.379686655251643,91942,10,406,41,38521,36,1
9705,20.740708623464815,138065,8,316,34,48312,36,1
43880,26.587115209227882,33965,29,826,69,23018,60,0
24236,8.307198691275957,33733,7,798,33,5108,24,0
23419,29.43974900862608,147182,39,824,34,27150,36,1
20978,19.56571615100914,177998,4,342,18,5247,48,0
38609,29.88685380867036,179855,11,649,38,8401,24,0
16358,27.78786814664627,103360,0,329,64,17007,36,1
35177,10.537931802827645,187466,14,740,66,9997,24,0
30378,6.404050247582828,128378,24,841,60,5261,12,0
38334,11.390977344884039,48287,17,754,39,4268,24,0
12382,18.189091224985496,102104,37,393,22,5984,60,1
15596,9.289909176629749,181508,25,594,53,20926,36,0
34572,9.186493612949713,106916,39,848,38,31862,24,0
14221,16.564838677628828,23188,2,388,26,32458,48,0
2279,5.831699279233961,111205,21,802,44,10,12,0
46960,8.047202063306761,117349,25,513,65,17144,12,0
8083,15.396533485198688,157837,18,721,29,25903,24,1
44861,6.578247730199162,161879,38,825,35,1177,60,0
18771,14.918876411388233,30204,35,491,52,26946,12,1
30975,16.850156648711128,62120,20,523,32,9168,24,1
46648,16.28166535182786,122903,25,686,67,2389,24,1
49285,26.729371435077184,173730,12,773,61,6364,12,1
20063,18.25156137629331,57081,35,502,47,27033,24,1
3106,16.699511561951084,54986,23,746,62,48545,24,1
25557,15.267731134791655,99322,25,367,50,11865,48,1
49854,25.440584457612154,114819,20,391,53,18936,24,1
21607,27.37641509999583,150015,17,477,57,12327,24,0
38599,26.33106172992794,70304,14,302,68,32252,60,1
29529,21.83866445328477,85592,14,402,47,35078,12,1
36954,8.434043649216855,78548,5,572,43,3741,60,0
28856,11.921749237300308,118447,30,833,38,40053,36,1
3573,6.151576592049436,59986,27,415,54,24001,60,0
13808,28.270601874752852,94095,7,763,60,3839,36,0
36367,21.51996324227276,111594,28,403,48,40349,36,1
37801,23.659072107831037,108281,20,558,34,19139,60,0
42196,12.789293489555725,86151,16,607,34,46905,48,1
35072,26.14133805693356,93598,23,666,51,25398,60,1
24752,11.490082092711962,48214,35,601,41,25036,12,1
18685,5.041093927811242,58745,30,326,50,38005,60,1
42401,14.410374063017349,193620,33,807,21,45272,48,0
12372,19.269037023976836,161753,1,826,26,1740,60,1
9996,16.967621449138065,158056,2,664,19,18508,48,0
17458,26.551903564414925,178651,29,597,52,31611,12,0
32889,7.635132148904173,110810,7,660,55,5291,24,0
27665,18.84558601584314,178471,6,803,62,31109,48,0
39243,17.824483745522684,182553,11,329,32,19481,48,0
32653,12.034824554304075,20944,18,738,60,5247,48,0
27657,25.555702814425263,113993,25,639,59,41613,12,1
40952,23.821216397055156,29114,27,425,20,21383,36,1
23180,23.321479683295774,59846,14,665,48,44501,48,0
32896,26.9048119567389,52596,13,742,69,25319,12,0
13875,23.06961501553803,124087,13,562,58,39334,24,1
2622,10.796032292868162,26907,2,521,59,23728,48,0
49756,22.639067791242276,179186,28,301,40,33620,36,0
41809,12.692570334746096,45009,5,693,29,30442,12,1
17725,11.054366258686763,104846,22,605,25,21310,24,0
41760,6.825089822490683,70241,27,445,38,42521,36,0
16646,23.60071450869192,186797,13,829,38,21452,24,0
18029,22.77502404874528,38996,13,827,49,12137,36,1
30402,10.862486941852342,157119,19,607,34,43636,60,0
5263,23.734475418103898,48767,12,639,54,14905,60,0
31987,27.946022077338828,36347,26,651,41,21773,60,0
47828,7.700723937289482,122063,34,508,25,30024,24,1
48924,10.815915959669374,44102,1,504,35,17702,60,0
9646,23.756519852182887,24263,39,314,28,16505,12,1
28529,11.862666837676956,128585,23,727,27,4254,12,1
12664,20.61659935709292,87438,28,775,43,49007,60,1
36737,7.029105611592863,116359,2,597,64,8498,36,0
36796,16.305061977588466,181612,3,393,23,12174,36,1
25027,23.477285549823826,150251,1,406,68,29422,24,0
30373,22.162848576081313,191915,19,718,34,29733,36,1
37397,25.37680251689517,47690,14,577,40,1896,48,0
21609,26.93630316507922,22994,31,427,59,45646,36,1
36835,24.329587531468956,123533,0,758,54,38744,12,0
39709,21.789693573473148,87546,37,337,45,3911,36,1
20250,5.793062295400778,158449,34,497,33,49105,24,0
22172,18.374166835236103,98572,6,656,29,8340,36,0
12555,5.94244312287132,46467,12,306,38,17423,24,0
22874,25.201695427900564,151120,0,631,41,42350,48,1
14081,13.01811311149894,188050,13,818,45,36672,60,1
25063,19.060734352948025,67606,28,493,54,4876,48,1
7819,11.986132682972565,118112,2,615,38,41077,12,1
26712,24.56250360950734,93414,23,300,50,703,48,1
25762,27.162563166047562,113145,0,361,19,38238,48,1
12046,14.9660623553266,68115,9,642,54,6440,12,1
32463,26.573059837774725,109606,12,317,36,31937,12,1
29769,11.67687518640831,60647,35,670,45,2024,60,1
24150,18.366523076888093,74607,8,534,32,15751,60,1
3711,26.4690357459676,41996,13,368,18,12730,36,1
5853,13.147033565394759,103697,35,746,60,21380,24,0
30077,28.851056626952143,66022,9,307,45,28972,12,1
24863,8.046987544534591,60148,39,761,67,37113,48,0
22792,5.456876743087656,87764,22,610,52,10149,48,0
41483,27.603383814454766,111901,34,433,49,38402,60,1
9942,6.716216653696806,110724,6,684,45,17381,24,0
49275,29.79722989868729,144766,34,355,26,49557,12,1
49594,28.78492154947765,28888,1,659,41,32359,60,1
2762,8.425522750908016,190231,14,413,21,43808,24,1
32987,18.439615642314145,193269,8,387,62,243,12,0
16850,9.62300743667861,118941,16,437,58,2414,48,1
13112,15.703879325752997,175546,38,407,20,3856,48,0
25058,6.535628231495817,37333,17,799,65,6263,60,0
46420,10.598114694914738,56355,14,834,39,47953,24,1
39890,14.081819909972488,149686,17,443,57,15799,48,1
1481,15.966187506151371,182217,23,355,56,41392,24,0
48304,29.43740645522233,123170,22,305,66,12470,60,1
33921,25.19664114209953,95675,11,841,42,13772,36,1
41385,23.435248607798655,87664,22,746,65,27382,24,0
2524,18.426032868549356,106153,20,684,39,33909,24,0
35888,25.999944015108586,113616,25,606,67,4126,60,1
16048,13.483070891392778,55285,7,601,65,19408,36,1
36111,22.7224778193329,168605,29,704,64,14863,48,0
38904,29.844599384454302,183696,33,809,51,13584,12,0
35008,12.865722723379971,66996,1,372,37,23391,60,0
1060,21.850438372099184,66947,4,564,53,19840,12,1
10130,26.10787160380956,179028,30,526,54,36965,36,0
19023,27.895189583766808,71030,32,492,56,25671,36,0
46080,22.948317273502546,62443,3,673,44,38592,24,1
14350,12.090198085428407,148344,5,309,64,12097,12,0
25354,13.157053789223662,85464,22,601,66,18839,12,0
46186,5.518950803099106,148019,18,658,49,44883,36,0
29145,24.022149441787743,155024,7,351,59,17774,12,0
35020,6.068490151548785,140454,38,398,69,37693,48,1
21587,26.616308865068643,144444,12,312,46,49769,36,1
42131,7.96651536186347,132175,0,689,58,2469,24,0
10650,9.296912803398106,62460,5,656,65,12468,24,1
20933,16.913161770805935,173868,6,310,49,35470,24,1
21581,23.447010379218558,182818,26,380,41,39025,12,1
24393,8.475055129976942,20015,14,560,20,40873,36,0
24051,16.00177687666246,69757,33,305,44,3165,24,1
27212,17.07128186025262,177029,22,757,26,11370,36,1
5090,10.307141041714782,101541,23,672,57,43251,12,1
7960,7.888959417015793,41292,14,780,40,47526,48,1
36772,25.910523074640988,142694,34,521,24,37198,48,1
22520,17.561641244069136,182948,3,380,34,42006,48,1
37408,5.359530899603825,67046,36,814,54,38760,12,1
29470,25.074532532727595,34817,16,359,24,28942,24,1
21491,29.51984513536462,29759,30,520,47,45017,12,1
2341,20.148154885356185,199504,37,648,30,32209,36,1
45623,17.592709677101766,26412,9,527,35,39365,48,1
25791,26.96039657612404,40504,26,589,48,1407,36,1
1338,28.812919742114964,128500,5,592,39,25976,12,1
6895,23.863422897561513,28507,5,492,31,41969,60,0
13254,16.136323243357197,41050,14,773,35,38325,60,1
12344,19.805534983286012,155892,3,556,52,15515,12,0
2750,22.52338412544998,158907,39,805,34,36174,24,0
3421,9.856839275045036,120153,6,687,36,11794,36,0
40887,16.18002580541095,33587,25,697,48,5700,12,0
6319,25.745531617932127,77732,30,665,56,8127,12,0
16896,21.368133712461074,71921,1,589,53,27391,60,1
12918,15.280101680296353,196571,27,608,32,10740,48,0
26064,21.584063350367035,137734,12,577,46,1545,48,0
47617,7.955560301811497,150104,17,763,57,23691,24,1
28935,15.037440264121908,157912,29,488,33,16518,24,0
38641,24.828213449076408,51440,10,477,50,35627,24,0
30711,10.5127196784162,55183,12,827,42,28054,60,1
5806,9.649037688935442,116172,23,674,33,13057,12,0
42360,28.770466497910785,153461,28,753,47,6003,24,1
13182,10.247440739655769,134515,4,516,51,34032,60,1
23297,11.522964491254202,143183,34,341,19,18156,36,1
20541,29.240398472608447,86299,18,493,57,49316,12,1
29921,23.367714256625643,135503,12,626,61,45380,36,1
17774,22.489913325588205,59023,4,672,60,48787,48,1
45813,26.323159596364533,59941,13,764,55,48345,48,1
38198,7.895577055919857,141677,37,462,68,27563,12,1
9820,22.64890591450018,96054,21,575,35,41579,24,1
25070,17.592215233205973,85363,8,663,22,6725,12,0
5232,25.7287660071035,81742,39,779,64,21682,24,0
12122,17.703542966629858,65215,25,759,57,27727,48,1
16023,20.5060338567228,67857,4,564,23,39582,12,0
9007,16.943553159988397,75476,28,838,29,16185,12,1
18905,16.953973088896102,179245,21,685,68,36740,24,0
42786,24.19924945154579,160467,2,384,29,7594,48,1
30398,20.714160016182078,79768,27,615,29,49554,48,0
35268,20.83158004023526,123591,37,542,26,7199,24,0
7737,16.257062095788143,66229,13,768,59,39032,24,0
37062,18.277737408438192,177711,13,641,39,27350,24,1
26510,23.64294165511968,131706,10,476,66,15874,48,0
20426,25.648522977797956,82583,8,429,67,4480,48,1
38265,22.414035053601154,179996,37,382,33,30435,12,1
18850,28.101824721142076,146011,5,659,21,30120,48,1
1614,25.508102203680025,50104,0,387,67,6619,36,0
22776,19.04659474523796,57594,24,831,20,2607,36,0
25077,21.78515181609342,23664,15,770,33,9382,24,1
10374,28.1577069230299,30528,14,797,31,8580,24,0
36435,20.47920110607646,179262,33,806,58,19788,24,0
31907,25.620173699495766,148404,16,653,55,22026,12,1
14409,22.220262589749677,52899,2,715,21,17173,36,0
17514,18.798409026511663,90979,2,350,19,23280,36,0
30866,11.045954885383829,37241,36,362,27,34262,48,0
3983,15.649937986710704,66211,16,388,28,47156,36,1
32705,29.19357062084289,83472,37,489,56,6710,48,1
21662,21.444134581815,51346,0,647,43,33588,12,1
24510,19.109884508474742,101196,6,837,54,12228,24,1
13651,28.323915638205683,124451,25,475,43,26055,24,1
41998,19.662794525936217,122908,38,663,21,31152,48,1
29535,18.152062960435075,193292,18,782,43,20449,60,0
7640,23.98277137875513,169014,29,418,55,27706,48,1
45547,22.81664047466361,69167,13,468,45,30466,12,1
16317,9.829000210210818,56373,12,446,19,22585,36,1
8564,16.78270686435303,87143,19,736,19,44025,48,0
28345,16.812886070489633,140623,25,738,33,24279,12,1
49288,14.455612881083619,130013,26,488,40,11837,24,0
29687,17.93233705380633,22016,24,459,40,24209,60,1
14737,15.327684943178605,89110,8,701,30,12220,60,0
10323,9.983637236779579,197381,11,317,38,3965,48,0
16229,15.309162181867027,27274,9,439,56,45806,36,0
45481,6.806923689329415,35748,5,414,42,42276,48,1
9502,19.39464656936029,171247,33,627,54,49333,60,1
1545,26.3413637235278,31826,18,524,66,38768,60,0
38114,23.132177108863882,103008,5,738,30,27230,24,1
30430,14.00985100135278,149288,1,849,32,23629,36,0
10996,7.176780139432704,185201,14,685,45,41920,36,0
28788,10.05373498063177,174562,16,820,20,27870,60,0
30969,18.63725851237089,125623,15,552,40,17373,60,0
49543,10.17642708457582,192507,27,397,21,29155,48,0
14919,18.59932778212419,159592,20,370,64,42685,48,1
4810,10.789975619097472,103106,7,746,67,47422,24,1
31586,26.22309673690182,170870,9,389,20,33474,60,1
40974,14.931786821011492,74638,9,729,56,23036,48,0
42773,11.138765648612276,89072,9,518,25,4847,24,1
17371,25.30815450617654,87309,8,406,60,20714,36,1
46084,13.570974120136269,180966,27,775,42,12893,60,0
30629,7.787192195969548,144724,23,753,58,4649,12,0
9436,19.26023728509104,147843,18,843,69,30571,60,1
13984,19.53910511094972,55326,32,425,29,11613,48,1
34039,22.867391880893354,25079,3,446,22,39364,60,1
20895,11.00548583020964,176910,2,579,50,24428,12,1
19155,16.094283477306128,141412,11,323,63,46706,60,1
11616,12.059197976066406,107340,17,419,42,41382,48,1
38129,7.0238434028922025,198181,22,596,42,22533,36,1
40837,26.91534567539729,105211,19,381,52,10106,48,0
25574,23.221745112208527,176666,5,747,32,32313,24,1
4430,12.536576486470018,62749,33,769,59,20394,48,0
13676,19.98432482179966,187364,1,722,43,12277,24,1
11816,10.031594703361812,138192,29,844,27,15448,60,0
33733,27.255915544894272,94534,8,323,41,13133,24,1
21144,7.872658584047757,99233,26,360,52,44142,60,1
3050,5.095928637695023,71818,33,383,46,4646,24,0
45460,17.550204943479553,131910,39,524,55,13708,48,0
34933,19.578195586321733,33429,23,485,22,6090,12,0
25951,19.47413300739511,77748,16,674,41,26634,60,1
33413,6.362798185945657,68807,28,371,36,26221,24,0
35801,12.851095172960811,27140,35,373,63,45552,12,1
33913,17.479973671033296,83226,11,640,66,44047,24,1
48037,10.414479640681023,165973,30,452,61,15392,24,1
41600,26.81564713714741,108815,8,395,26,43752,24,0
26280,7.177732236535851,48525,18,744,43,35304,48,0
25557,17.18461104180107,40491,16,409,42,19643,24,1
48054,22.285401437828803,186052,1,757,52,39647,12,0
36400,11.543777503362062,28078,39,350,67,14793,24,0
5494,20.606018424937954,111654,4,676,53,31794,36,0
16152,25.734628753559363,149101,38,372,31,7438,60,1
24895,9.758424377376189,199776,15,511,23,18895,48,1
10155,27.93051479562157,36997,16,731,49,18474,36,0
32883,18.83896331655895,151940,26,467,43,37402,36,0
44194,12.480800107526514,177470,6,630,32,16951,12,0
44001,15.771456884556768,117356,7,793,66,16504,12,0
2828,12.8047970946597,133711,7,442,48,6768,48,0
46028,23.127778998332904,41246,22,744,54,8507,48,1
42898,24.907516585378303,171633,31,693,55,48125,60,0
33123,25.823434807966525,167326,17,811,54,29810,24,0
38573,29.64420623964353,54512,37,627,36,620,48,1
1806,24.78210731241709,77865,11,558,31,20447,48,1
41970,20.034601767214085,174652,14,736,53,33221,24,0
30757,13.480507459794595,123393,27,648,54,19118,60,0
35636,18.614886217768735,92144,37,814,28,46599,12,1
15561,6.026704319760135,193557,30,748,44,958,60,1
49280,23.620626888247827,137363,8,698,19,10200,24,1
25262,16.148888627302544,70665,7,513,39,29318,12,1
15899,5.50058074330469,172110,18,845,19,33530,12,0
49988,6.56267353776027,113542,7,588,37,47837,12,1
16934,14.686661595543915,121311,33,558,61,46465,60,1
39197,19.585537975460877,34325,3,557,65,29840,24,0
42844,16.605098723803167,186964,30,687,34,22904,60,1
37332,20.480107932303873,152825,37,844,21,18435,60,0
35157,17.007356469783893,169068,2,564,31,47897,36,1
12593,21.54259613703367,88811,34,612,24,32071,48,1
41042,10.478151616770022,196283,18,339,32,41156,60,1
18320,7.821079679590535,136737,28,509,47,24191,36,0
28376,19.910848865641498,20824,9,571,33,49412,24,0
44513,17.117237923407686,164952,11,435,57,6746,36,0
15199,5.671691351123382,137718,29,359,19,28484,60,1
16876,14.512047137325897,86617,29,809,36,38658,24,1
9245,7.653139637274887,31517,17,814,18,6053,36,0
8214,18.28392079381738,172755,23,314,48,34048,60,1
1726,14.894441991510769,167948,31,554,21,16519,24,0
47600,20.328797777575446,123068,8,834,44,40645,24,0
12362,25.14005546925596,135016,23,534,42,2545,48,0
19297,12.49171709603727,29982,25,430,39,14447,60,1
31448,29.052552604125687,177670,2,316,60,29959,48,1
27172,18.39086251468936,165711,22,484,27,11677,24,1
43874,20.4572699688697,90210,10,690,67,8560,24,1
8657,22.016809330643426,89852,9,722,50,3662,36,0
19850,21.668288246439744,133618,35,741,66,48505,48,0
26425,17.774268576126552,29695,12,311,65,13055,12,1
27685,15.719107277867087,68582,28,819,61,39497,60,0
48319,6.3445491044344475,51094,37,379,47,12798,48,1
25578,5.552146132529494,42187,12,601,47,4808,24,1
29831,13.949029863319117,138013,25,515,33,8048,36,0
8906,13.341522265842316,148721,19,547,26,13107,60,0
8287,14.692378870975169,126683,4,840,34,6520,60,0
34660,8.45920502220475,21214,19,571,52,16928,36,0
11222,23.45420676342109,43940,13,432,67,23501,24,1
38443,26.424110369405973,64406,13,304,64,36191,12,1
35701,28.467865884350875,194553,7,841,32,29476,36,0
18764,17.309057587990644,167049,12,440,65,26948,12,1
45641,22.521642478135714,195911,23,782,45,4483,48,0
18674,26.388778085896814,78414,14,604,37,45295,60,0
19024,15.457277777337149,121440,0,644,50,39887,24,0
47007,12.73531987176111,176610,21,569,50,17481,12,1
24874,28.418113896337253,123569,33,407,53,10718,24,1
44642,17.891913776926827,80481,39,773,30,15373,48,0
33284,17.43134716477195,47740,2,381,21,23244,12,1
18602,9.460402414087394,83328,25,383,40,38203,24,1
38784,7.703875364333919,31881,13,589,25,45123,24,1
24265,26.05267156208779,56996,7,370,30,27629,48,1
26931,20.35332940468795,183249,15,474,41,31257,36,1
29841,13.145614600486217,142196,20,762,57,18327,48,0
30192,9.79340543475666,57177,9,694,63,34487,12,1
47542,18.887432004240786,86126,24,390,47,5768,12,0
43520,19.597982231528384,76531,37,768,47,24866,60,1
16585,10.174840031126454,46119,21,733,42,44649,24,1
26559,26.28514369728685,137744,3,548,50,9166,12,0
41059,7.106609153896278,136894,3,540,26,30743,36,1
34742,13.902327129160541,178987,29,795,43,16798,36,0
5133,22.009610344063052,153780,1,639,41,9042,48,0
15663,11.853009095480017,189821,28,770,50,11969,12,0
22754,25.691879869531796,64989,35,762,56,7203,12,0
4972,23.496695665010087,42106,20,574,42,4641,60,0
6295,24.725571113703356,37131,20,314,69,28536,60,1
47681,7.977663396917906,66553,20,340,62,14374,60,1
42873,8.513678199888574,26553,3,507,32,14546,12,1
30125,12.16184344361459,37881,0,359,58,49893,48,1
41996,17.951929129939025,21379,25,664,65,14102,48,1
10903,23.70040191748506,110791,1,539,66,33359,48,1
4020,25.91327226902259,125664,8,459,58,33517,48,1
42755,22.608382898929513,89306,17,696,23,34987,36,0
21420,28.214922038265957,170798,10,799,37,9029,12,1
22452,23.468587740398256,160160,24,508,61,47545,24,1
46648,12.656697175115369,185386,25,432,33,11322,12,0
39001,11.627032108464315,124512,35,680,38,44441,48,0
10516,22.404811257527246,36350,34,732,32,41493,36,1
48327,9.821764217240357,119599,37,688,56,12654,36,0
3396,7.317870270256748,101397,2,731,59,9965,12,0
19546,18.305571871404847,99509,34,573,21,7508,24,0
20129,25.541039244473883,37769,39,650,41,47859,48,1
2591,7.534496061746588,198321,21,433,20,35338,36,0
12303,24.79728309489323,121584,7,365,67,22132,48,0
31561,25.2893001087887,66365,14,504,18,264,48,1
7183,17.056850002038587,70185,6,597,47,16025,48,0
27572,6.43275775026217,153858,18,416,30,46117,60,1
35080,9.36474628117966,146525,39,566,35,41341,48,0
21695,22.68565687904831,152692,16,448,57,11488,48,1
8314,22.794448624773736,56303,0,493,28,42126,24,1
20623,27.458881879191633,39589,28,478,59,43438,24,1
3139,19.567153663864573,22882,12,447,46,388,60,0
48456,8.102684192844436,149236,28,764,21,2071,60,0
32290,8.035372637624302,175596,5,304,42,24970,48,0
19088,23.02830893392059,29745,4,825,53,47736,36,1
40692,9.59461662769753,35861,33,579,53,14454,36,0
34130,13.209637490415133,111707,10,798,61,7840,12,0
33088,17.180300173047847,74261,8,735,57,29654,36,0
27292,5.61912193940378,153909,37,515,45,11849,36,0
47249,11.220475675498296,94135,39,814,62,20403,24,1
21670,15.197240212682,74380,8,436,25,10431,12,0
4738,11.990907962330155,106089,7,579,38,22442,12,0
3469,8.409258186689145,125025,39,431,52,6630,24,1
23534,23.200306444904935,189327,2,692,61,47736,36,1
49874,25.328691379199622,180592,12,780,35,13008,36,1
10017,11.436974403593121,180613,18,812,64,47487,12,0
3808,24.36048736515758,178422,33,718,42,2859,36,0
48638,14.638839110032846,64397,31,501,63,2393,12,1
13713,17.66714477135007,97085,15,761,58,29144,36,0
41329,26.40002687232882,83865,35,501,22,14091,48,1
3719,23.748842045060197,75956,17,451,64,22455,24,1
23890,25.127921282904442,178525,13,521,25,34818,60,1
12700,8.42112916465892,120727,29,378,40,3121,48,0
37509,6.742985645843237,163978,1,499,20,9116,36,1
43534,27.335118227199676,34988,12,398,61,4971,60,1
37766,14.695856739277358,178795,26,512,54,44535,48,0
27705,12.19699195174202,53800,16,442,48,29644,24,1
19787,23.11740635654561,190179,30,688,46,24079,60,1
49845,25.910389914496417,178502,14,673,58,28327,60,0
27588,26.562240547457524,183607,19,351,37,36122,24,1
27123,12.899928528130683,107329,4,434,20,37242,48,1
34062,26.30530978004185,72284,6,710,40,3397,60,0
11177,6.023348609358635,76232,17,769,57,39049,24,0
22727,6.241537286492972,64420,10,411,38,12412,48,0
31220,20.58797987935386,57710,31,824,30,48519,36,1
10882,6.577659227888656,112035,26,343,25,5521,12,0
2136,13.115229212754038,191570,25,696,22,29151,36,1
35832,21.8188996561731,51283,36,560,42,3472,36,1
32966,13.431672401355659,45968,27,844,56,5481,12,0
8009,9.4899945360024,82508,1,687,54,38977,36,1
13987,12.033765546346041,133435,19,775,58,19883,36,0
38311,16.439383306260794,105366,3,709,22,23379,24,1
32575,16.88464638388706,25738,12,315,25,24265,24,0
2007,24.575005783680048,23098,23,401,61,41391,48,1
6445,23.753830735787812,115424,37,485,21,23656,60,0
11706,16.42044511390338,98672,39,324,58,9304,48,0
48517,26.141683727469285,58244,28,371,39,21080,24,1
45486,7.8559284647848955,159325,35,317,31,45911,24,1
30257,11.383833755722538,74333,1,631,36,43013,12,1
22736,25.699411587556288,145349,17,396,30,12445,12,0
43207,14.449850965653827,70969,7,311,52,40314,24,0
14281,29.529538969846055,110744,14,310,21,22857,36,1
2435,16.656332038195885,137286,16,462,50,28894,48,0
34339,24.798390574094103,195483,22,582,39,38570,24,0
36150,15.057676034559298,95028,1,540,18,544,24,1
26821,15.62383797656076,55421,5,344,28,39420,12,1
27660,14.572078682104587,152526,28,554,33,16052,48,1
6084,22.976890512770293,168594,26,366,21,27734,48,0
17661,18.687947101499862,58575,36,341,46,35396,60,0
14507,28.594452784209228,23192,33,683,56,36219,24,1
8059,11.272257913352618,131116,17,533,61,41497,60,1
19271,7.514068302086109,147874,9,784,55,1436,12,0
46539,14.831537127480381,101311,37,338,41,11007,60,0
8491,20.4178176911694,161474,16,310,69,28341,36,1
48295,26.519973422887375,100781,12,708,26,31014,24,0
15859,13.654922167008191,56527,26,407,25,35830,24,1
9073,21.34466877811154,72181,1,393,31,49411,48,1
10077,13.754967025580477,111472,33,383,32,7551,60,0
21953,20.430489574861454,178074,30,357,39,13113,48,0
12383,27.12019867576627,101219,22,592,54,48431,60,0
3353,10.783941056485226,163532,6,315,32,37179,60,1
24821,15.106041052675979,139783,37,776,23,4841,12,0
38567,29.831629910743665,181554,32,464,18,40729,60,1
25860,26.71392570623652,167519,11,736,37,17102,48,0
22195,19.11599644740505,199300,11,702,58,37964,60,0
12939,17.915689796356883,103265,18,685,53,19111,60,1
26338,12.115009557617025,70126,8,437,19,11093,24,1
22730,17.930235692338236,40545,9,830,23,7546,24,0
22427,26.20453745699868,75114,16,592,19,31799,24,1
36196,22.129362831944515,113740,39,774,20,21584,36,0
28083,12.251100704449664,33890,38,761,24,19361,24,0
22510,10.036598026338323,141284,9,672,37,14484,36,0
45064,11.630213424920727,72482,11,461,66,47871,36,1
8813,9.243980034820662,152812,14,343,58,47448,48,1
32598,7.391017400592899,181193,30,382,58,14101,24,0
48182,15.478404361051375,162290,14,838,68,42774,60,0
28570,7.832490109956693,91591,27,818,22,36248,12,0
28082,9.297813943177609,108241,3,710,42,42701,60,1
30241,18.683117108487153,54722,35,640,55,13261,24,0
31678,9.114981842489367,69431,0,388,35,13209,60,0
45569,6.596994185772571,62000,33,529,18,28647,24,1
12745,12.93472125069713,91975,16,317,42,8221,24,0
27029,10.507977465549189,50921,38,580,34,47833,60,1
14025,17.882629699859418,119265,37,721,63,19877,36,1
37124,7.559177114580233,108747,32,637,32,25557,48,1
15288,23.794269692074455,181686,20,565,22,32998,48,0
24650,27.655837985878467,37601,25,654,34,7526,48,1
7540,23.58587934890486,113332,35,659,38,38049,48,1
33232,18.320675935034856,143254,4,516,40,1251,12,0
17422,26.51669554472213,171586,32,620,60,32588,24,1
4342,22.37295949453769,139004,0,511,27,6889,12,0
42846,5.2637780612547465,167364,5,502,34,46152,48,0
36612,14.852253819362577,182582,36,452,18,45454,48,1
11396,26.27379748517,48000,1,728,54,28766,60,0
18482,13.646471449381732,150439,4,586,65,29146,48,0
24411,5.880379338138088,139277,25,620,24,34546,24,0
47766,23.654490963806808,50383,12,735,29,8052,48,1
14261,25.050956757071713,162857,11,795,57,32548,48,0
4093,9.014842376082715,60910,4,448,67,37638,12,1
12722,18.43351242107953,190100,1,841,18,1147,24,1
23042,9.798885974893144,175927,3,781,37,2847,36,0
45413,22.98086047610367,44281,26,625,61,20234,60,0
48851,11.78876137943714,133838,9,328,48,19454,36,1
29087,12.905378064083251,24841,12,558,21,33388,12,1
33347,26.124271341002533,117204,1,374,43,33731,48,0
34756,16.908058805172608,80155,25,797,29,39983,60,1
40214,21.743861280456194,177990,14,715,39,43820,24,1
17335,15.05932626806169,76313,9,639,18,26076,60,0
29602,12.450171429843884,131688,21,607,18,30752,12,0
49901,20.636951510616534,168515,39,540,20,16003,48,0
